States and UTs,pov,ger,lit,lfpr,unemp,nsdp,urb
Andaman and Nicobar Islands,1,93.6,86.63,449,65,89100,37.53
Andhra Pradesh,9.2,59,67.02,479,20,69000,33.36
Arunachal Pradesh,34.67,52.1,65.38,376,22,73540,22.90
Assam,31.98,36.6,72.19,358,46,41142,14.10
Bihar,33.74,42.8,61.8,283,34,21750,11.30
Chandigarh,21.81,88.6,86.05,376,60,158967,97.25
Chhattisgarh,39.93,51.9,70.28,469,14,55177,23.24
Delhi,9.91,90.2,86.21,350,38,185001,97.50
Goa,5.09,82.1,88.7,376,49,259444,62.17
Gujarat,16.63,48.8,78.03,424,5,87481,42.60
Haryana,11.16,67.4,75.55,354,29,106085,34.88
Himachal Pradesh,8.06,97.2,82.8,526,13,87721,10.04
Jammu and Kashmir,10.35,52.8,67.16,403,34,53173,27.37
Jharkhand,36.96,31.9,66.41,360,26,41254,24.05
Karnataka,20.91,60.7,75.36,430,16,90263,38.67
Kerala,7.05,89.2,94,403,66,97912,47.70
Madhya Pradesh,31.65,61.8,69.32,388,9,38497,27.63
Maharashtra,17.35,65.9,82.34,437,13,99597,45.22
Manipur,36.89,51.1,76.94,386,37,39762,29.20
Meghalaya,11.87,35.7,74.43,438,8,60013,20.05
Mizoram,20.4,63.5,91.33,446,32,57654,52.14
Nagaland,18.88,37.7,79.55,445,177,53010,28.85
Odisha,32.59,44.8,72.87,422,24,48499,16.69
Puducherry,9.69,93,85.85,362,21,119649,68.35
Punjab,8.26,64,75.84,401,22,85577,37.48
Rajasthan,14.71,57.5,66.11,405,12,57192,24.87
Sikkim,8.19,50.5,81.42,525,12,158667,25.20
Tamil Nadu,11.28,62.7,80.09,454,23,93112,48.40
Tripura,14.05,61.6,87.22,445,128,47155,26.16
Uttar Pradesh,29.43,56.2,67.68,339,16,32002,22.27
Uttarakhand,11.26,71.8,78.82,373,31,100314,30.23
West Bengal,19.98,53.7,76.26,405,33,51543,31.87
